time_msec,throughput,current_buffer,current_playing_segment
67753,187.355,14.822,33
67878,187.355,14.701,33
68003,185.856,14.571,33
68128,187.355,14.441,33
68282,97.5686,16.29,33
68407,185.856,16.171,33
68532,187.355,16.041,33
68658,185.856,15.931,34
68780,285.639,15.811,34
68904,187.355,15.69,34
69027,188.878,15.571,34
69185,98.5347,17.411,34
69309,187.355,17.28,34
69433,187.355,17.16,34
69571,168.348,17.021,34
69698,184.381,16.901,34
69819,288,16.77,34
70035,85.7931,18.56,34
70161,184.381,18.43,34
70280,196.881,18.31,34
70403,190.426,18.191,34
70528,185.856,18.06,34
70650,190.426,17.949,35
70764,205.593,17.84,35
70896,177.344,17.711,35
71013,300.414,17.59,35
71133,193.6,17.471,35
71262,84.339,19.341,35
71382,193.6,19.22,35
71499,200.276,19.1,35
71624,185.856,18.98,35
71744,195.227,18.86,35
71865,193.6,18.741,35
71990,187.355,18.61,35
72105,303.026,18.501,35
72225,195.227,18.38,35
72447,136.506,20.16,35
72567,193.6,20.04,35
72687,193.6,19.931,36
72807,195.227,19.81,36
72927,195.227,19.691,36
73047,193.6,19.571,36
73167,195.227,19.45,36
73267,348.48,19.35,36
73374,217.121,19.24,36
73480,219.17,19.13,36
73587,219.17,19.03,36
73747,144.752,20.871,36
73854,219.17,20.76,36
73960,219.17,20.649,36
74067,219.17,20.551,36
74174,219.17,20.439,36
74281,217.121,20.33,36
74395,407.579,20.22,36
74500,304.692,20.109,36
74627,185.931,22,37
74742,305.684,21.881,37
74857,303.026,21.761,37
74973,303.026,21.65,37
75086,308.389,21.541,37
75201,303.026,21.42,37
75317,303.026,21.301,37
75430,308.389,21.191,37
75542,523.243,21.081,37
75717,259.188,22.911,37
75836,390.454,22.791,37
75956,390.454,22.67,37
76075,390.454,22.55,37
76195,387.2,22.431,37
76314,393.763,22.311,37
76434,390.454,22.191,37
76553,390.454,22.071,37
76677,562.065,21.96,38
76798,480,21.831,38
76920,480,21.71,38
77043,472.195,21.591,38
77239,293.593,23.39,38
77361,480,23.27,38
77483,480,23.15,38
77606,472.195,23.03,38
77721,611.368,22.909,38
77825,563.883,22.81,38
77928,563.883,22.7,38
78032,558.462,22.6,38
78136,563.883,22.5,38
78239,563.883,22.39,38
78376,328.396,24.261,38
78481,558.462,24.15,38
78583,569.412,24.051,38
78686,569.412,23.961,39
78790,558.462,23.851,39
78904,713.263,23.741,39
79012,651.364,23.63,39
79122,639.413,23.52,39
79230,645.333,23.41,39
79336,663.771,23.311,39
79444,645.333,23.201,39
79554,639.413,23.09,39
79668,509.474,22.97,39
79770,690.059,22.87,39
79876,663.771,22.771,39
79984,651.364,22.66,39
80094,852.55,22.551,39
80208,713.263,22.431,39
80318,745.982,22.32,39
80424,774.4,22.221,39
80543,318.923,24.1,39
80652,745.982,24,40
80758,657.509,23.901,40
80867,645.333,23.791,40
80977,950.4,23.68,40
81082,670.154,23.581,40
81188,876.679,23.47,40
81298,844.8,23.36,40
81403,774.4,23.261,40
81515,837.189,23.151,40
81616,813.12,23.051,40
81728,837.189,22.931,40
81836,860.444,22.831,40
81944,752.889,22.72,40
82050,885.029,22.61,40
82166,318.923,24.5,40
82275,968,24.391,40
82380,893.538,24.28,40
82480,929.28,24.181,40
82584,902.214,24.081,40
82684,929.28,24,41
82796,1046.49,23.89,41
82898,911.059,23.781,41
83002,902.214,23.681,41
83108,876.679,23.572,41
83208,929.28,23.47,41
83310,911.059,23.371,41
83420,1056,23.261,41
83526,986.264,23.161,41
83633,986.264,23.051,41
83737,1005.23,22.941,41
83843,995.657,22.842,41
84028,624,24.652,41
84134,995.657,24.551,41
84241,986.264,24.44,41
84345,1005.23,24.341,41
84451,995.657,24.23,41
84553,1138.82,24.131,41
84661,1085.61,24.02,41
84770,1075.56,23.93,42
84881,1046.49,23.82,42
84982,696.96,23.719,42
85084,1495.13,23.621,42
85186,920.079,23.519,42
85296,633.6,23.41,42
85398,1024.94,23.3,42
